wl,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44
0.655,0.050951262,4.451513212,0.146658837,3.656571345,3.0976101,3.33619495,3.822564885,0.176709924,2,0,1.9387,0.0122,2.3667,0.4959,3.7447,3.58,3.08,0.3256,2.9501,0.4386,3.752975975,0.036273012,4.3796,0.152385133,2.8736,3.6983,3.514888818,0.291668236,1.879036214,0.000513611,2.031855243,0,2.843903287,0.354243649,2.096769588,0,1.997111884,0.021224899,4.269205072,0.04094447,3.499311435,0.001924196,1.81933913,0.003961464
0.66,0.049835859,4.48882702,0.139835859,3.703664141,3.089343434,3.340820707,3.816212121,0.173,2,0,1.936,0.0123,2.3647,0.4926,3.7551,3.58,3.08,0.3239,2.9512,0.4353,3.744251766,0.033185382,4.363,0.141629338,2.8875,3.7092,3.510779409,0.288302759,1.877862948,0.000503136,2.031024556,0,2.841155673,0.358409585,2.095082523,0,1.992039729,0.020597992,4.252696207,0.034791691,3.487996602,0.000955881,1.814971008,0.003843048
0.665,0.048659148,4.530600251,0.138659148,3.751438596,3.084636591,3.346704261,3.81056391,0.173,2,0,1.9333,0.0123,2.3627,0.4895,3.7661,3.58,3.08,0.3222,2.953,0.4322,3.73591491,0.031118187,4.3473,0.130952715,2.9014,3.7201,3.507008186,0.284491476,1.876831264,0.000493703,2.030294671,0,2.837352035,0.362084687,2.093883723,0,1.986931139,0.019975916,4.236513167,0.029191594,3.477201735,0.000343262,1.810575828,0.003725725
0.67,0.0475,4.57175,0.1375,3.7985,3.08,3.3525,3.804,0.1705,1.9991,0,1.9306,0.0124,2.3609,0.4865,3.7771,3.58,3.08,0.3205,2.9553,0.4293,3.728115571,0.030267185,4.3318,0.120700992,2.9152,3.7309,3.503512004,0.280661166,1.875704179,0.000484146,2.029497932,0,2.835810677,0.36631455,2.09294971,0,1.981785914,0.019358165,4.220667038,0.024131269,3.467007754,8.83E-06,1.806152883,0.003609274
0.675,0.046358025,4.612290123,0.136358025,3.844864198,3.075432099,3.358209877,3.797703704,0.166148148,1.997,0,1.9279,0.0125,2.359,0.4835,3.7877,3.58,3.08,0.3188,2.9575,0.4265,3.720081119,0.029538572,4.3159,0.111126995,2.9289,3.7417,3.500227849,0.277236855,1.874673815,0.000474312,2.028771243,0,2.836244246,0.372156662,2.092057065,0,1.976603703,0.018744244,4.205167741,0.019596749,3.457469178,-0.000123337,1.80170148,0.003493502
0.68,0.045232843,4.652234069,0.135232843,3.890546569,3.070931373,3.363835784,3.792977941,0.159397059,1.9945,0,1.9252,0.0126,2.3572,0.4807,3.7972,3.58,3.08,0.3171,2.9592,0.4236,3.71204248,0.028885487,4.301,0.102233462,2.9426,3.7524,3.497110349,0.274408952,1.873709413,0.000465446,2.028092167,0,2.836883244,0.380651733,2.091031836,0,1.971383496,0.0181337,4.190020021,0.015569354,3.448522877,-0.000122154,1.797220994,0.003378338
0.685,0.044124088,4.691594891,0.134124088,3.935562044,3.06649635,3.369379562,3.788321168,0.154321168,1.9921,0,1.9225,0.0127,2.3554,0.4779,3.8052,3.58,3.08,0.3154,2.96,0.4205,3.70511249,0.028175448,4.286,0.093554207,2.9562,3.7632,3.494149355,0.271899486,1.872714009,0.000457329,2.027390723,0,2.83596941,0.391650311,2.089840247,0,1.966124094,0.017526091,4.175227182,0.012029097,3.440072959,-5.46E-05,1.792710822,0.003263749
0.69,0.043031401,4.730385266,0.133031401,3.979925121,3.062125604,3.374842995,3.783913043,0.151181159,1.9904,0,1.9198,0.0128,2.3537,0.4752,3.8113,3.5799,3.08,0.3137,2.96,0.4172,3.698779465,0.027433014,4.2708,0.084984917,2.9698,3.7739,3.491338979,0.269375652,1.871749924,0.000448292,2.026712908,0,2.831861496,0.403044012,2.088473177,0,1.960824304,0.016920976,4.160792609,0.008956059,3.432023713,1.26E-05,1.78817036,0.003149701
0.695,0.041954436,4.768617506,0.131954436,4.02364988,3.057817746,3.380227818,3.780035971,0.151827338,1.99,0,1.9171,0.0129,2.3518,0.4726,3.8167,3.5771,3.08,0.3119,2.96,0.4137,3.691682417,0.026862805,4.2566,0.077669322,2.9833,3.7846,3.488683854,0.266611002,1.870826866,0.000440189,2.026064145,0,2.823269008,0.412541855,2.086922203,0,1.955483203,0.016317919,4.146730836,0.006339812,3.424303797,3.85E-05,1.783598988,0.003036152
0.7,0.040892857,4.806303571,0.130892857,4.06675,3.053571429,3.385535714,3.77575,0.143642857,1.99,0,1.9145,0.013,2.35,0.47,3.8219,3.5712,3.08,0.31,2.96,0.4103,3.684589118,0.026262557,4.2423,0.070723953,2.9967,3.7952,3.486209615,0.263591421,1.86994919,0.000432338,2.025448228,0,2.811954658,0.418351739,2.085206815,0,1.950100412,0.015716493,4.133078649,0.004188873,3.416890519,3.33E-05,1.778996055,0.002923045
0.705,0.039846336,4.844208038,0.130153664,4.109745863,3.050460993,3.390460993,3.771078014,0.13335461,1.99,0,1.9118,0.0131,2.3481,0.4675,3.8269,3.5629,3.0792,0.308,2.96,0.4067,3.677558274,0.025439854,4.2277,0.063753417,3.0101,3.8058,3.483944393,0.26032801,1.869034135,0.00042497,2.024806656,0,2.801470664,0.421382707,2.083383208,0,1.944675616,0.01511627,4.119875479,0.00251401,3.409766966,1.36E-05,1.774360907,0.002810319
0.71,0.038814554,4.885892019,0.131185446,4.15504108,3.053556338,3.393556338,3.764887324,0.129021127,1.99,0,1.9091,0.0132,2.3463,0.4651,3.8313,3.5527,3.077,0.3058,2.96,0.4031,3.670581327,0.024516979,4.2139,0.057316563,3.0234,3.8164,3.481916317,0.256831872,1.868215522,0.000417368,2.02423361,0,2.794595434,0.423453767,2.081510072,0,1.939208499,0.014516826,4.107160672,0.001325405,3.402916228,-4.32E-06,1.769692888,0.002697913
