wl,n1,n2
0.7900 ,3.438789409,7.11E-13
0.7910 ,3.437616936,2.07E-12
0.7920 ,3.436445869,2.23E-12
0.7930 ,3.435277167,1.61E-12
0.7940 ,3.43411179,6.80E-13
0.7950 ,3.432950695,1.32E-13
0.7960 ,3.431794843,5.36E-13
0.7970 ,3.430645193,6.05E-13
0.7980 ,3.429502703,4.56E-13
0.7990 ,3.428368334,2.09E-13
0.8000 ,3.427243045,1.85E-14
0.8010 ,3.426127794,1.40E-13
0.8020 ,3.425023541,1.69E-13
0.8030 ,3.423931245,1.35E-13
0.8040 ,3.422851865,7.03E-14
0.8050 ,3.42178636,5.32E-15
0.8060 ,3.420735691,3.38E-14
0.8070 ,3.419700815,4.64E-14
0.8080 ,3.418682693,4.06E-14
0.8090 ,3.417682283,2.45E-14
0.8100 ,3.416700545,6.17E-15
0.8110 ,3.415738437,6.75E-15
0.8120 ,3.41479692,1.21E-14
0.8130 ,3.413876952,1.18E-14
0.8140 ,3.412979492,8.06E-15
0.8150 ,3.4121055,3.08E-15
0.8160 ,3.411255935,1.02E-15
0.8170 ,3.410431756,3.04E-15
0.8180 ,3.409633923,3.41E-15
0.8190 ,3.408863394,2.66E-15
0.8200 ,3.408121129,1.37E-15
0.8210 ,3.407408087,1.04E-16
0.8220 ,3.406725227,6.70E-16
0.8230 ,3.406073509,9.40E-16
0.8240 ,3.405453891,8.51E-16
0.8250 ,3.404867333,5.52E-16
0.8260 ,3.404314795,1.88E-16
0.8270 ,3.403797214,9.52E-17
0.8280 ,3.403314739,2.30E-16
0.8290 ,3.402866485,2.50E-16
0.8300 ,3.402451503,1.93E-16
0.8310 ,3.402068842,9.93E-17
0.8320 ,3.40171755,7.55E-18
0.8330 ,3.401396677,4.89E-17
0.8340 ,3.401105271,6.92E-17
0.8350 ,3.400842382,6.38E-17
0.8360 ,3.400607058,4.27E-17
0.8370 ,3.400398348,1.62E-17
0.8380 ,3.400215302,5.42E-18
0.8390 ,3.400056969,1.66E-17
0.8400 ,3.399922397,1.92E-17
0.8410 ,3.399810635,1.59E-17
0.8420 ,3.399720733,9.41E-18
0.8430 ,3.39965174,2.37E-18
0.8440 ,3.399602703,2.66E-18
0.8450 ,3.399572674,4.96E-18
0.8460 ,3.399560699,5.17E-18
0.8470 ,3.39956583,4.00E-18
0.8480 ,3.399587113,2.15E-18
